Name,Paraffinic CH3,Paraffinic CH2,Paraffinic CH,Olefinic -CH=CH2,Naphthenic CH-CH2,Aromatic C-CH,Alcoholic OH,Ether O,Aldehydic CHO,Ketonic CO,Ester COO,MW,BI,FP
"1,2,3,4,5-pentamethylbenzene",50.67567568,0,0,0,0,49.32432432,0,0,0,0,0,148,2.167,364
1-methyl-4-tert-butylbenzene,40.54054054,0,0,0,0,51.35135135,0,0,0,0,0,148,1.75,364.1
(3-methylbutyl)-benzene,20.27027027,18.91891892,8.783783784,0,0,52.02702703,0,0,0,0,0,148,1.2,338
n-pentylbenzene,10.13513514,37.83783784,0,0,0,52.02702703,0,0,0,0,0,148,1,339
biphenyl,0,0,0,0,0,100,0,0,0,0,0,154,2,386
"1,2-dimethylnaphthalene",19.23076923,0,0,0,0,80.76923077,0,0,0,0,0,156,1.333333333,387
"1,8-dimethylnaphthalene",19.23076923,0,0,0,0,80.76923077,0,0,0,0,0,156,1,388.3
2-ethylnaphthalene,9.615384615,8.974358974,0,0,0,81.41025641,0,0,0,0,0,156,1,377.4
"1,4-dimethylnaphthalene",19.23076923,0,0,0,0,80.76923077,0,0,0,0,0,156,1.666666667,382.2
cyclohexylbenzene,0,0,8.125,0,43.75,48.125,0,0,0,0,0,160,1.5,372
n-hexylbenzene,9.259259259,43.20987654,0,0,0,47.5308642,0,0,0,0,0,162,1,353
fluorene,0,0,0,0,8.43373494,91.56626506,0,0,0,0,0,166,2.5,406
2-methylbiphenyl,8.928571429,0,0,0,0,91.07142857,0,0,0,0,0,168,2,410
diphenylmethane,0,8.333333333,0,0,0,91.66666667,0,0,0,0,0,168,2,403
n-heptylbenzene,8.522727273,47.72727273,0,0,0,43.75,0,0,0,0,0,176,1,358.15
anthracene,0,0,0,0,0,100,0,0,0,0,0,178,3,394
bibenzyl,0,15.38461538,0,0,0,84.61538462,0,0,0,0,0,182,2,401.85
n-octylbenzene,7.894736842,51.57894737,0,0,0,40.52631579,0,0,0,0,0,190,1,380
n-nonylbenzene,7.352941176,54.90196078,0,0,0,37.74509804,0,0,0,0,0,204,1,372
pyrene,0,0,0,0,0,100,0,0,0,0,0,202,4,441.8
n-decylbenzene,6.880733945,57.79816514,0,0,0,35.32110092,0,0,0,0,0,218,1,380
n-undecylbenzene,6.465517241,60.34482759,0,0,0,33.18965517,0,0,0,0,0,232,1,417
Dodecyl Benzene,6.097560976,62.60162602,0,0,0,31.30081301,0,0,0,0,0,246,1,414
1-ethenyl-2-ethylBenzene,11.36363636,10.60606061,0,20.45454545,0,57.57575758,0,0,0,0,0,132,1,331
1-ethenyl-3-ethylBenzene,11.36363636,10.60606061,0,20.45454545,0,57.57575758,0,0,0,0,0,132,1.1,333
1-ethenyl-4-ethylBenzene,11.36363636,10.60606061,0,20.45454545,0,57.57575758,0,0,0,0,0,132,1.2,334
n-tridecylbenzene,5.769230769,64.61538462,0,0,0,29.61538462,0,0,0,0,0,260,1,438
n-tetradecylbenzene,5.474452555,66.42335766,0,0,0,28.10218978,0,0,0,0,0,274,1,447
N-hexadecylbenzene,4.966887417,69.53642384,0,0,0,25.49668874,0,0,0,0,0,302,1,466
Heptadecyl Benzene,4.746835443,70.88607595,0,0,0,24.36708861,0,0,0,0,0,316,1,472
methanol,46.88,0,0,0,0,0,53.12,0,0,0,0,32,0,285
ethanol,32.6,30.43,0,0,0,0,36.96,0,0,0,0,46,0,286
"1,2-ethanediol (ethylene glycol)",0,45.16129032,0,0,0,0,54.83870968,0,0,0,0,62,0,384
propenol,25.86206897,0,0,44.82758621,0,0,29.31034483,0,0,0,0,58,0,294
1-propanol,25,46.66,0,0,0,0,28.33,0,0,0,0,60,0,288
2-propanol,50,0,21.66666667,0,0,0,28.33333333,0,0,0,0,60,0.333333333,284.7
"1,2-propanediol",19.73684211,18.42105263,17.10526316,0,0,0,44.73684211,0,0,0,0,76,0.25,372
2-Methoxyethanol,19.73,36.84,0,0,0,0,22.36,21.05,0,0,0,76,0,312
2-buten-1-ol,20.83333333,19.44444444,0,36.11111111,0,0,23.61111111,0,0,0,0,72,0,300
3-buten-1-ol,0,38.88888889,0,37.5,0,0,23.61111111,0,0,0,0,72,0,306
3-buten-2-ol,20.83333333,0,18.05555556,37.5,0,0,23.61111111,0,0,0,0,72,0.25,293
2-Methyl-1-propanol,40.54054054,18.91891892,17.56756757,0,0,0,22.97297297,0,0,0,0,74,0.25,301
1-butanol,20.27,56.75,0,0,0,0,22.97,0,0,0,0,74,0,310
2-butanol,40.54,18.91,17.56,0,0,0,22.97,0,0,0,0,74,0.25,297
2-Methyl-2-propanol,60.81081081,0,0,0,0,0,22.97,0,0,0,0,74,0.666666667,284
Cyclopentanol,0,0,0,0,79.31034483,0,19.54022989,0,0,0,0,87,0.5,324
"2,2-Dimethyl-1-propanol",51.13636364,15.90909091,0,0,0,0,19.31818182,0,0,0,0,88,0.5,310
1-pentanol,17.04545455,63.63636364,0,0,0,0,19.31818182,0,0,0,0,88,0,306
2-pentanol,34.09090909,31.81818182,14.77272727,0,0,0,19.31818182,0,0,0,0,88,0.2,307
3-pentanol,34.09090909,31.81818182,14.77272727,0,0,0,19.31818182,0,0,0,0,88,0.3,307
2-Methyl-1-butanol,34.09,31.81,14.77,0,0,0,19.318,0,0,0,0,88,0.3,323
3-Methyl-1-butanol,34.09090909,31.81818182,14.77272727,0,0,0,19.31818182,0,0,0,0,88,0.2,316
2-methyl-2-butanol,51.14,15.91,0,0,0,0,19.32,0,0,0,0,88,0.5,292
3-methyl-2-butanol,51.13636364,0,29.54545455,0,0,0,19.31818182,0,0,0,0,88,0.5,311
cyclohexanol,0,0,0,0,83,0,17,0,0,0,0,100,0.5,341
1-hexanol,14.70588235,68.62745098,0,0,0,0,16.66666667,0,0,0,0,102,0,336
2-hexanol,29.41176471,41.17647059,12.74509804,0,0,0,16.66666667,0,0,0,0,102,0.166666667,314
3-hexanol,29.41176471,41.17647059,12.74509804,0,0,0,16.66666667,0,0,0,0,102,0.25,314
2-methyl-2-pentanol,44.11764706,27.45098039,0,0,0,0,16.66666667,0,0,0,0,102,0.4,314
3-methyl-2-pentanol,44.11764706,13.7254902,25.49019608,0,0,0,16.66666667,0,0,0,0,102,0.5,313
4-methyl-2-pentanol,44.11764706,13.7254902,25.49019608,0,0,0,16.66666667,0,0,0,0,102,0.4,314
